AB型	AB型 🆎
橙色大菱形	橙色大菱形 🔶
橙色大階磚	橙色大階磚 🔶
橙色小菱形	橙色小菱形 🔸
橙色小階磚	橙色小階磚 🔸
橙色愛心	橙色愛心 🧡
橙色書本	橙色書本 📙
機動車道	機動車道 🛣
機器人	機器人 🤖
機場	機場 ✈️
機械人	機械人 🤖
機械工	機械工 👩🏻‍🔧 👨🏻‍🔧
機械手	機械手 🦾
機械手臂	機械手臂 🦾
機械腳	機械腳 🦿
機車	機車 🏍
機長	機長 👩🏻‍✈️ 👨🏻‍✈️
檔案夾	檔案夾 📁 📂 🗂
檔案櫃	檔案櫃 🗄
檢查	檢查 🧐
檯曆	檯曆 📆
檸檬	檸檬 🍋
櫈	櫈 🪑
櫈仔	櫈仔 🪑
櫻	櫻 🌸
櫻桃	櫻桃 🍒
櫻花	櫻花 🌸
歌手	歌手 👩🏻‍🎤 👨🏻‍🎤
歌譜	歌譜 🎼
歐元	歐元 💶
歐式城堡	歐式城堡 🏰
歐式郵局	歐式郵局 🏤
歐洲	歐洲 🌍
歐洲城堡	歐洲城堡 🏰
歐洲聯盟	歐洲聯盟 🇪🇺
歐洲郵局	歐洲郵局 🏤
歐盟	歐盟 🇪🇺
歡呼	歡呼 🙌
歡喜	歡喜 🥰 🥳
歡笑	歡笑 😁
正	正 🤩 👍
正中	正中 🎯
正中紅心	正中紅心 🎯
正教會	正教會 ☦️
正教會十字	正教會十字 ☦️
正確	正確 💯 ✅ ✔️
正統十字架	正統十字架 ☦️
武器	武器 🔫 ⚔️
武術服	武術服 🥋
死鬼咁凍	死鬼咁凍 🥶
殘月	殘月 🌘
殭屍	殭屍 🧟‍♀️ 🧟‍♂️
殭屍女	殭屍女 🧟‍♀️
殭屍男	殭屍男 🧟‍♂️
比利時	比利時 🇧🇪
比基尼	比基尼 👙
比堅尼	比堅尼 👙
比薩	比薩 🍕
毛毛蟲	毛毛蟲 🐛
毛線	毛線 🧶
毛線團	毛線團 🧶
毛蟲	毛蟲 🐛
毛里塔尼亞	毛里塔尼亞 🇲🇷
毛里求斯	毛里求斯 🇲🇺
民國	民國 🇹🇼
氣憤	氣憤 😤 😠 😡 💢
氣旋	氣旋 🌀
氣泡	氣泡 🫧
氣球	氣球 🎈
水喉	水喉 🚰
水晶球	水晶球 🔮
水桶	水桶 🪣
水槍	水槍 🔫
水母	水母 🪼
水滴	水滴 💧 💦
水牛	水牛 🐃
水獺	水獺 🦦
水球	水球 🤽
水球女	水球女 🤽‍♀️
水球男	水球男 🤽‍♂️
水瓶座	水瓶座 ♒️
水稻	水稻 🌾
水蜜桃	水蜜桃 🍑
水餃	水餃 🥟
水龍頭	水龍頭 🚰
求救	求救 🆘
汗顏	汗顏 😓
江豚	江豚 🐡
汽車	汽車 🚗 🚘
沖涼	沖涼 🚿
沙地阿拉伯	沙地阿拉伯 🇸🇦
沙律	沙律 🥗
沙拉	沙拉 🥗
沙槌	沙槌 🪇
沙漏	沙漏 ⌛️ ⏳
沙漠	沙漠 🏜
沙灘	沙灘 🏖
沙灘傘	沙灘傘 ⛱
沙灘遮	沙灘遮 ⛱
沙烏地阿拉伯	沙烏地阿拉伯 🇸🇦
沙特	沙特 🇸🇦
沙特阿拉伯	沙特阿拉伯 🇸🇦
沙發	沙發 🛋
沮喪	沮喪 😓
河豚	河豚 🐡
河馬	河馬 🦛
油桶	油桶 🛢
油橄欖	油橄欖 🫒
油泵	油泵 ⛽️
油炸蝦	油炸蝦 🍤
油燈	油燈 🪔
油站	油站 ⛽️
泊車	泊車 🅿️
法	法 🇫🇷
法國	法國 🇫🇷
法官	法官 👩🏻‍⚖️ 👨🏻‍⚖️
法屬南部領地	法屬南部領地 🇹🇫
法屬圭亞那	法屬圭亞那 🇬🇫
法屬波利尼西亞	法屬波利尼西亞 🇵🇫
法師	法師 🧙🏻‍♀️ 🧙🏻‍♂️
法式長棍	法式長棍 🥖
法式麪包	法式麪包 🥖
法羅羣島	法羅羣島 🇫🇴
法蘭西	法蘭西 🇫🇷
法輪	法輪 ☸️
泡	泡 🫧
泡泡	泡泡 🫧
波多黎各	波多黎各 🇵🇷
波板糖	波板糖 🍭
波浪	波浪 🌊
波浪線	波浪線 〰️
波蘭	波蘭 🇵🇱
波黑	波黑 🇧🇦
泥水佬	泥水佬 👷🏻‍♂️
注意	注意 ⚠️
注意兒童	注意兒童 🚸
泰	泰 🇹🇭
泰國	泰國 🇹🇭
泰迪熊	泰迪熊 🧸
泳衣	泳衣 🩱
泳裝	泳裝 🩱
洋菇	洋菇 🍄‍🟫
洋蔥	洋蔥 🧅
洗手間	洗手間 🚽 🚾 🚻
洗浴	洗浴 🛀
洞	洞 🕳️
津巴布韋	津巴布韋 🇿🇼
洪都拉斯	洪都拉斯 🇭🇳
派	派 🥧
流口水	流口水 🤤
流星	流星 🌠
流汗笑	流汗笑 😅
流淚	流淚 😭
流淚貓	流淚貓 😹
流血	流血 🩸
浣熊	浣熊 🦝
浪	浪 🌊
浴缸	浴缸 🛁
海地	海地 🇭🇹
海島	海島 🏝
海浪	海浪 🌊
海灘	海灘 🏖
海狸	海狸 🦫
海盜	海盜 🏴‍☠️
海盜旗	海盜旗 🏴‍☠️
海綿	海綿 🧽
海蜇	海蜇 🪼
海豚	海豚 🐬
海豹	海豹 🦭
海貝	海貝 🐚
海關	海關 🛃
海龜	海龜 🐢
浸浴	浸浴 🛀
浸浴缸	浸浴缸 🛁
消防	消防 👩🏻‍🚒 👨🏻‍🚒 🚒
消防員	消防員 👩🏻‍🚒 👨🏻‍🚒
消防車	消防車 🚒
涓水	涓水 🫗
液滴	液滴 💧 💦
涼鞋	涼鞋 🩴
涿屎	涿屎 💩
淚流滿面	淚流滿面 😭
深夜	深夜 🌃
深膚色	深膚色 🏿
深色皮膚	深色皮膚 🏿
深色膚色	深色膚色 🏿
淺膚色	淺膚色 🏻
淺色皮膚	淺色皮膚 🏻
淺色膚色	淺色膚色 🏻
淺藍心	淺藍心 🩵
淺藍愛心	淺藍愛心 🩵
淺藍色愛心	淺藍色愛心 🩵
清涼	清涼 🆒
清真寺	清真寺 🕌
清空	清空 🆑
清酒	清酒 🍶
清除	清除 🆑
減	減 ➖
減號	減號 ➖
渡渡鳥	渡渡鳥 🦤
渡輪	渡輪 ⛴
測體溫	測體溫 🤒
港	港 🇭🇰
游水	游水 🏊
游水女	游水女 🏊‍♀️
游水男	游水男 🏊‍♂️
游泳	游泳 🏊
游泳圈	游泳圈 🛟
游泳女	游泳女 🏊‍♀️
游泳男	游泳男 🏊‍♂️
湯加	湯加 🇹🇴
湯匙	湯匙 🥄
湯麪	湯麪 🍜
溜溜球	溜溜球 🪀
溫度計	溫度計 🌡
溫泉	溫泉 ♨️
滅火	滅火 🧯
滅火器	滅火器 🧯
滑板	滑板 🛹
滑板車	滑板車 🛴
滑梯	滑梯 🛝
滑雪	滑雪 ⛷ 🏂
滑雪屐	滑雪屐 🎿
滑雪板	滑雪板 🎿
滑鼠	滑鼠 🖱
滴	滴 💧
滴汗	滴汗 😓
滿	滿 🈵
滿分	滿分 💯
滿月	滿月 🌝 🌕
滿足	滿足 ☺️ 🥰
漁	漁 🎣
漏斗	漏斗 ⌛️ ⏳
演講	演講 🗣️
漢堡	漢堡 🍔
漢堡包	漢堡包 🍔
漩渦	漩渦 🌀
漲	漲 📈
潛水	潛水 🤿
潛水鏡	潛水鏡 🥽
澤西島	澤西島 🇯🇪
澳	澳 🇦🇺 🇲🇴
澳大利亞	澳大利亞 🇦🇺
澳洲	澳洲 🇦🇺
澳門	澳門 🇲🇴
激動	激動 ❤️‍🔥
激情	激情 ❤️‍🔥
激死	激死 😤
瀡	瀡 🛝
瀡滑梯	瀡滑梯 🛝
火	火 🔥
火山	火山 🌋
火心	火心 ❤️‍🔥
火烈鳥	火烈鳥 🦩
火焰	火焰 🔥
火熱	火熱 🥵 ❤️‍🔥
火燒	火燒 🔥
火箭	火箭 🚀
火花	火花 ✨ ❇️
火苗	火苗 🔥
火車	火車 🚆
火車站	火車站 🚉
火辣	火辣 🥵
火鍋	火鍋 🫕 🍲
火雞	火雞 🦃
灰心	灰心 🩶
灰色愛心	灰色愛心 🩶
炮仗	炮仗 🧨
炸	炸 💥
炸彈	炸彈 💣
炸薯條	炸薯條 🍟
炸蝦	炸蝦 🍤
烏克蘭	烏克蘭 🇺🇦
烏干達	烏干達 🇺🇬
烏拉圭	烏拉圭 🇺🇾
烏茲別克斯坦	烏茲別克斯坦 🇺🇿
烏蠅	烏蠅 🪰
烏賊	烏賊 🦑
烏龜	烏龜 🐢
焗桑拿	焗桑拿 🧖🏻‍♀️ 🧖🏻‍♂️
焗飯	焗飯 🥘
無	無 🈚️
無尾熊	無尾熊 🐨
無峯駝	無峯駝 🦙
無窮	無窮 ♾
無窮大	無窮大 ♾
無線	無線 🛜
無線網	無線網 🛜
無線網絡	無線網絡 🛜
無話可說	無話可說 🫤
無語	無語 😒 🫥 😐
無軌電車	無軌電車 🚎
焦慮	焦慮 😰
煎蛋	煎蛋 🍳
煎雞膥	煎雞膥 🍳
煎雞蛋	煎雞蛋 🍳
煎餅	煎餅 🥞
煙肉	煙肉 🥓
煙花	煙花 🎇 🎆
照相機	照相機 📷
煩躁	煩躁 😫
熄機	熄機 📴
熊	熊 🐻 🐻‍❄️
熊貓	熊貓 🐼
熊貓頭	熊貓頭 🐼
熊頭	熊頭 🐻
熔化	熔化 🫠
熟睡	熟睡 😴 💤
熠熠星光	熠熠星光 🌟
熱	熱 🥵
熱帶魚	熱帶魚 🐠
熱心	熱心 ❤️‍🔥
熱情	熱情 ❤️‍🔥
熱死	熱死 🥵
熱狗	熱狗 🌭
熱辣	熱辣 🥵
熱飲	熱飲 ☕
燃燒	燃燒 🔥
燈	燈 💡 🪔
燈泡	燈泡 💡
燈神	燈神 🧞‍♀️ 🧞‍♂️
燈籠椒	燈籠椒 🫑
燈膽	燈膽 💡
燒	燒 🔥
燒心	燒心 ❤️‍🔥
燒火	燒火 🔥
燕尾服	燕尾服 🤵🏻‍♀️ 🤵🏻‍♂️
燕尾服女	燕尾服女 🤵🏻‍♀️
燕尾服男	燕尾服男 🤵🏻‍♂️
營	營 🈺
燭	燭 🕯
爆	爆 💥
爆炸	爆炸 💥
爆竹	爆竹 🧨
爆米花	爆米花 🍿
爆粗	爆粗 🤬
爆谷	爆谷 🍿
爸	爸 👨🏻
爸爸	爸爸 👨🏻
爹地	爹地 👨🏻
爺爺	爺爺 👴🏻
牀	牀 🛏
版權	版權 ©️
牌	牌 🃏
牙	牙 🦷
牙刷	牙刷 🪥
牙擦	牙擦 🪥
牙買加	牙買加 🇯🇲
牙齒	牙齒 🦷
牛	牛 🐮 🐃 🐂 🐄
牛仔	牛仔 🤠
牛仔褲	牛仔褲 👖
牛奶	牛奶 🥛
牛扒	牛扒 🥩
牛排	牛排 🥩
牛油	牛油 🧈
牛油果	牛油果 🥑
牛角包	牛角包 🥐
牛角麪包	牛角麪包 🥐
牛頭	牛頭 🐮
牡蠣	牡蠣 🦪
牢大	牢大 🚁
特克斯及凱科斯羣島	特克斯及凱科斯羣島 🇹🇨
牽手	牽手 👫🏻 👭🏻 👬🏻
犀	犀 🦏
犀利	犀利 👍
犀牛	犀牛 🦏
犬	犬 🐶 🐕 🦮
狐	狐 🦊
狐狸	狐狸 🦊
狐狸頭	狐狸頭 🦊
狗	狗 🐶 🐕 🦮
狗仔	狗仔 🐶 🐕 🦮
狗狗	狗狗 🐶 🐕 🦮
狗頭	狗頭 🐶
狸	狸 🦊
狼	狼 🐺
狼頭	狼頭 🐺
猙獰	猙獰 🤨
猛獁象	猛獁象 🦣
猢猻	猢猻 🐵 🐒
猩猩	猩猩 🦍
猴	猴 🐵 🐒
猴頭	猴頭 🐵
猶太	猶太 ✡️ 🔯 🕎
猶太教	猶太教 ✡️ 🔯 🕎
猶太教堂	猶太教堂 🕍
猶太燭臺	猶太燭臺 🕎
獅	獅 🦁
獅子	獅子 🦁
獅子座	獅子座 ♌️
獅子犬	獅子犬 🐩
獅子狗	獅子狗 🐩
獅子頭	獅子頭 🦁
獎牌	獎牌 🏅
獎盃	獎盃 🏆
獨木舟	獨木舟 🛶
獨木船	獨木船 🛶
獨角獸	獨角獸 🦄
獸人	獸人 🧌
獼猴	獼猴 🐵 🐒
獼猴桃	獼猴桃 🥝
獾	獾 🦡
玄鳥	玄鳥 🐦‍⬛
玉兔	玉兔 🐇
玉米	玉米 🌽
玉米粉蒸肉	玉米粉蒸肉 🫔
王儲	王儲 🤴🏻
王冠人	王冠人 🫅
王女	王女 👸🏻 👸
王妃	王妃 👸🏻 👸
王子	王子 🤴🏻
玫瑰	玫瑰 🌹
玫瑰花	玫瑰花 🌹
玫瑰花結	玫瑰花結 🏵
玻利維亞	玻利維亞 🇧🇴
珊瑚	珊瑚 🪸
珊瑚礁	珊瑚礁 🪸
珍珠奶茶	珍珠奶茶 🧋
珠算	珠算 🧮
球門	球門 🥅
球鞋	球鞋 👟
理髮	理髮 💇🏻‍♀️ 💇🏻‍♂️ 💈
理髮店	理髮店 💈
琴	琴 🎹
琴鍵	琴鍵 🎹
瑙魯	瑙魯 🇳🇷
瑞典	瑞典 🇸🇪
瑞士	瑞士 🇨🇭
瑪黛	瑪黛 🧉
瑪黛茶	瑪黛茶 🧉
環保	環保 ♻️
環扣	環扣 🔗
瓜德羅普	瓜德羅普 🇬🇵
瓜皮帽	瓜皮帽 👲
瓢蟲	瓢蟲 🐞
瓦利斯及富圖納羣島	瓦利斯及富圖納羣島 🇼🇫
瓦努阿圖	瓦努阿圖 🇻🇺
瓦肯舉手禮	瓦肯舉手禮 🖖
甜品	甜品 🍮
甜椒	甜椒 🫑
甜甜圈	甜甜圈 🍩
甜筒	甜筒 🍦
甜薯	甜薯 🍠
生化危害	生化危害 ☣️
生日蛋糕	生日蛋糕 🎂
生物危害	生物危害 ☣️
生蠔	生蠔 🦪
田雞	田雞 🐸
甲蟲	甲蟲 🪲
申	申 🈸
男人	男人 👨🏻
男人魚	男人魚 🧜🏻‍♂️
男仙人	男仙人 🧚🏻‍♂️
男仙子	男仙子 🧚🏻‍♂️
男修理工	男修理工 👨🏻‍🔧
男偵探	男偵探 🕵️‍♂️
男反派	男反派 🦹🏻‍♂️
男同	男同 👨‍❤️‍👨
男同性戀	男同性戀 👨‍❤️‍👨
男吸血鬼	男吸血鬼 🧛🏻‍♂️
男員工	男員工 👨🏻‍💼
男太空人	男太空人 👨🏻‍🚀
男姑娘	男姑娘 👨🏻‍⚕️
男子	男子 👨🏻
男孩	男孩 👦🏻
男學生	男學生 👨🏻‍🎓
男宇航員	男宇航員 👨🏻‍🚀
男守衛	男守衛 💂🏻‍♂️
男工人	男工人 👨🏻‍🏭
男巫	男巫 🧙🏻‍♂️
男差人	男差人 👮🏻‍♂️
男帽	男帽 🎩
男廚師	男廚師 👨🏻‍🍳
男建築工	男建築工 👷🏻‍♂️
男建築工人	男建築工人 👷🏻‍♂️
男性	男性 🚹
男技工	男技工 👨🏻‍🔧
男探長	男探長 🕵️‍♂️
男教師	男教師 👨🏻‍🏫
男機械工	男機械工 👨🏻‍🔧
男機長	男機長 👨🏻‍✈️
男歌手	男歌手 👨🏻‍🎤
男殭屍	男殭屍 🧟‍♂️
男法官	男法官 👨🏻‍⚖️
男法師	男法師 🧙🏻‍♂️
男消防員	男消防員 👨🏻‍🚒
男燈神	男燈神 🧞‍♂️
男畫家	男畫家 👨🏻‍🎨
男盲人	男盲人 👨🏻‍🦯 👨🏻‍🦯‍➡️
男神探	男神探 🕵️‍♂️
男科學家	男科學家 👨🏻‍🔬
男童	男童 👦🏻
男精靈	男精靈 🧝🏻‍♂️
男老師	男老師 👨🏻‍🏫
男職員	男職員 👨🏻‍💼
男舞蹈家	男舞蹈家 🕺🏻
男航天員	男航天員 👨🏻‍🚀
男藝人	男藝人 👨🏻‍🎤
男藝術家	男藝術家 👨🏻‍🎨
男行人	男行人 🚶🏻‍♂️ 🚶🏻‍♂️‍➡️
男衛兵	男衛兵 💂🏻‍♂️
男裝	男裝 👕
男警察	男警察 👮🏻‍♂️
男護士	男護士 👨🏻‍⚕️
男超級英雄	男超級英雄 🦸🏻‍♂️
男路人	男路人 🚶🏻‍♂️ 🚶🏻‍♂️‍➡️
男農民	男農民 👨🏻‍🌾
男醫生	男醫生 👨🏻‍⚕️
男醫護	男醫護 👨🏻‍⚕️
男醫護人員	男醫護人員 👨🏻‍⚕️
男阿拉丁燈神	男阿拉丁燈神 🧞‍♂️
男靴	男靴 🥾
男鞋	男鞋 👞
男飛行員	男飛行員 👨🏻‍✈️
男魔法師	男魔法師 🧙🏻‍♂️
留尼旺	留尼旺 🇷🇪
畢業	畢業 🎓
番茄	番茄 🍅
番薯	番薯 🍠
番豆	番豆 🥜
畫家	畫家 👩🏻‍🎨 👨🏻‍🎨
畫框	畫框 🖼
畫畫	畫畫 🎨
畫筆	畫筆 🖌
疑問	疑問 ❓ ❔
疑惑	疑惑 😕
疲勞	疲勞 😪
疲憊	疲憊 😪 😮‍💨
痛哭	痛哭 😭
痛苦	痛苦 🥴
癐	癐 😮‍💨
登山靴	登山靴 🥾
發件箱	發件箱 📤
發信	發信 📤
發信箱	發信箱 📤
發怵	發怵 😨
發熱	發熱 🥵
發燒	發燒 🤒
發言	發言 💬
白	白 ⬜️
白俄羅斯	白俄羅斯 🇧🇾
白兔	白兔 🐇
白大褂	白大褂 🥼
白子	白子 ⚪️
白心	白心 🤍
白旗	白旗 🏳️
白羅斯	白羅斯 🇧🇾
白羊座	白羊座 ♈️
白老鼠	白老鼠 🐁
白色	白色 ⚪️ ⬜️
白色中方塊	白色中方塊 ◽️
白色大方塊	白色大方塊 ◻️
白色小方塊	白色小方塊 ▫️
白色愛心	白色愛心 🤍
白色方鍵	白色方鍵 🔳
白菜	白菜 🥬
白貓	白貓 🐈
白髮女	白髮女 👩🏻‍🦳
白髮男	白髮男 👨🏻‍🦳
白鴿	白鴿 🕊️
白鼠	白鼠 🐁
百分之一百	百分之一百 💯
百分百	百分百 💯
百合	百合 👩‍❤️‍👩
百慕大	百慕大 🇧🇲
百貨	百貨 🏬
百貨公司	百貨公司 🏬
百貨商店	百貨商店 🏬
百貨大樓	百貨大樓 🏬
的士	的士 🚕 🚖
皇儲	皇儲 🤴🏻
皇冠	皇冠 👑
皇子	皇子 🤴🏻
皮包	皮包 👝
皮卡	皮卡 🛻
皮卡車	皮卡車 🛻
皮特肯	皮特肯 🇵🇳
皮納塔	皮納塔 🪅
皮膚	皮膚 🏻 🏼 🏽 🏾 🏿
皮鞋	皮鞋 👞
皺眉	皺眉 ☹️ 🙍🏻‍♀️ 🙍🏻‍♂️
皺眉女	皺眉女 🙍🏻‍♀️
皺眉男	皺眉男 🙍🏻‍♂️
盆景	盆景 🪴
盆栽	盆栽 🪴
盈凸月	盈凸月 🌔
盒	盒 📦
盒仔	盒仔 📦
盔	盔 🪖
盧旺達	盧旺達 🇷🇼
盧森堡	盧森堡 🇱🇺
目瞪口呆	目瞪口呆 😮 😲
盲人	盲人 👩🏻‍🦯 👨🏻‍🦯 👩🏻‍🦯‍➡️ 👨🏻‍🦯‍➡️
盲人女	盲人女 👩🏻‍🦯 👩🏻‍🦯‍➡️
盲人男	盲人男 👨🏻‍🦯 👨🏻‍🦯‍➡️
盲女	盲女 👩🏻‍🦯 👩🏻‍🦯‍➡️
盲男	盲男 👨🏻‍🦯 👨🏻‍🦯‍➡️
直尺	直尺 📏
直布羅陀	直布羅陀 🇬🇮
直方圖	直方圖 📊
直昇機	直昇機 🚁
相吻	相吻 👩🏻‍❤️‍💋‍👨🏻
相吻人	相吻人 💏
相吻女	相吻女 👩‍❤️‍💋‍👩
相吻男	相吻男 👨‍❤️‍💋‍👨
相愛	相愛 👩🏻‍❤️‍👨🏻
相愛人	相愛人 💑
相戀	相戀 👩🏻‍❤️‍👨🏻
相擁	相擁 🤗
相機	相機 📷
相聲	相聲 🎭
盾	盾 🛡
盾牌	盾牌 🛡
眉月	眉月 🌒
眉開眼笑	眉開眼笑 😃
眨單眼	眨單眼 😉
眩暈	眩暈 💫
眯埋眼	眯埋眼 😑
眯眼	眯眼 😑
眯眼𡃶	眯眼𡃶 😚
眼	眼 👁️ 👀
眼放電	眼放電 😉
眼望望	眼望望 👀
眼淚	眼淚 😢
眼溼溼	眼溼溼 🥹
眼睛	眼睛 👁️ 👀
眼鏡	眼鏡 🤓
着數	着數 🫰
着火	着火 🔥 ❤️‍🔥
着陸	着陸 🛬
睇	睇 👀
睇下	睇下 👀
睇戲	睇戲 🎦
睇睇	睇睇 🧐 👀
睇過	睇過 🧐
睇電影	睇電影 🎦
睏覺	睏覺 😴 🛌 💤
睛	睛 👁️ 👀
睡熟	睡熟 😴 💤
睡覺	睡覺 😴 💤
瞌眼睏	瞌眼睏 🥱 😴
瞌眼瞓	瞌眼瞓 🥱 😴
瞌睡	瞌睡 🥱 😴
瞓覺	瞓覺 😴 🛌 💤
短褲	短褲 🩳
矮瓜	矮瓜 🍆
石	石 🪨
石像	石像 🗿
石塊	石塊 🪨
石油	石油 🛢
石頭	石頭 🪨
砂槌	砂槌 🪇
砂鍋	砂鍋 🥘
破殼	破殼 🐣
破殼而出	破殼而出 🐣
破涕爲笑	破涕爲笑 😂
破鏈	破鏈 ⛓️‍💥
硬幣	硬幣 🪙
碗勺	碗勺 🥣
碟	碟 💽 💿 📀
碼農	碼農 👩🏻‍💻 👨🏻‍💻
磁懸浮列車	磁懸浮列車 🚝
磁石	磁石 🧲
磁鐵	磁鐵 🧲
磚	磚 🧱
磚塊	磚塊 🧱
磚頭	磚頭 🧱
示愛	示愛 😘
祈禱	祈禱 🙏
祕	祕 ㊙️
祕密	祕密 ㊙️
祝	祝 ㊗️
祝賀	祝賀 🎊 🎉 ㊗️
神廟	神廟 🏛
神探	神探 🕵️‍♀️ 🕵️‍♂️
神社	神社 ⛩
票據	票據 🎫
禁	禁 🈲
禁單車	禁單車 🚳
禁手機	禁手機 📵
禁止	禁止 🈲 ❌ ⛔️ 🚫
禁止亂拋垃圾	禁止亂拋垃圾 🚯
禁止吸菸	禁止吸菸 🚭
禁止單車	禁止單車 🚳
禁止垃圾	禁止垃圾 🚯
禁止手提電話	禁止手提電話 📵
禁止手機	禁止手機 📵
禁止抌垃圾	禁止抌垃圾 🚯
禁止行人	禁止行人 🚷
禁止電話	禁止電話 📵
禁止食菸	禁止食菸 🚭
禁止騎車	禁止騎車 🚳
禁菸	禁菸 🚭
禁電話	禁電話 📵
福克蘭羣島	福克蘭羣島 🇫🇰
禮品	禮品 🎁️
禮品盒	禮品盒 🎁️
禮帽	禮帽 👒
禮拜堂	禮拜堂 🛐
禮服	禮服 👗
禮物	禮物 🎁️ 💝
禮盒	禮盒 🎁️
禮賓花	禮賓花 🎉
私家車	私家車 🚗 🚘
私隱	私隱 ㊙️
科威特	科威特 🇰🇼
科學家	科學家 👩🏻‍🔬 👨🏻‍🔬
科摩羅	科摩羅 🇰🇲
科特迪瓦	科特迪瓦 🇨🇮
科科斯基林羣島	科科斯基林羣島 🇨🇨
科索沃	科索沃 🇽🇰
秒錶	秒錶 ⏱
秘魯	秘魯 🇵🇪
秤	秤 ⚖️
移動電話	移動電話 📱
程序員	程序員 👩🏻‍💻 👨🏻‍💻
稱讚	稱讚 👍
稻	稻 🌾
稻穀	稻穀 🌾
穀	穀 🌾
空	空 🈳
空樽	空樽 🫙
突尼斯	突尼斯 🇹🇳
窗	窗 🪟
窗口	窗口 🪟
窗戶	窗戶 🪟
窺	窺 🫣
窺視	窺視 🫣
窿	窿 🕳️
立陶宛	立陶宛 🇱🇹
站立	站立 🧍🏻‍♀️ 🧍🏻‍♂️
站立女	站立女 🧍🏻‍♀️
站立男	站立男 🧍🏻‍♂️
章魚	章魚 🐙
競技場	競技場 🏟
競技館	競技館 🏟
竹	竹 🎋
竹節	竹節 🎍
竹籃	竹籃 🧺
笑	笑 😄 😅
笑口常開	笑口常開 😀
笑哭	笑哭 😂
笑容	笑容 😀 😁
笑容滿面	笑容滿面 😁
笑死	笑死 😆 🤣 😂
笑淚	笑淚 🥲
笛	笛 🪈
符號	符號 🔣
符號輸入	符號輸入 🔣
符號鍵盤	符號鍵盤 🔣
第一	第一 ☝️
第一卷	第一卷 📕
第三卷	第三卷 📘
第二卷	第二卷 📗
第四卷	第四卷 📙
筆	筆 🖋
筆記本	筆記本 📓 📔
筆記本電腦	筆記本電腦 💻
筆記簿	筆記簿 📓 📔
筆錄	筆錄 📝
等如	等如 🟰
等於	等於 🟰
等號	等號 🟰
筷	筷 🥢
筷子	筷子 🥢
筷箸	筷箸 🥢
算啦	算啦 😥
算盤	算盤 🧮
算罷啦	算罷啦 😥
箭術	箭術 🏹
箱	箱 📦
箱仔	箱仔 📦
箸	箸 🥢
節節高	節節高 🎍
籃	籃 🧺
籃球	籃球 🏀
籃球女	籃球女 ⛹️‍♀️
籃球男	籃球男 ⛹️‍♂️
米	米 🇺🇸
米利堅	米利堅 🇺🇸
米國	米國 🇺🇸
米字	米字 ✳️
米飯	米飯 🍚
米餅	米餅 🍘
粉心	粉心 🩷
粉紅心	粉紅心 🩷
粉紅愛心	粉紅愛心 🩷
粉紅色愛心	粉紅色愛心 🩷
粉色愛心	粉色愛心 🩷
粗口	粗口 🤬
粟米	粟米 🌽
精靈	精靈 🧝🏻‍♀️ 🧝🏻‍♂️
精靈女	精靈女 🧝🏻‍♀️
精靈男	精靈男 🧝🏻‍♂️
糖	糖 🍬
糖果	糖果 🍬
糰子	糰子 🍡
約旦	約旦 🇯🇴
紅	紅 🟥
紅䘆	紅䘆 🪱
紅三角	紅三角 🔺
紅中	紅中 🀄
紅包	紅包 🧧
紅心	紅心 ❤️ ♥️
紅書	紅書 📕
紅毛猩猩	紅毛猩猩 🦧
紅猩猩	紅猩猩 🦧
紅綠燈	紅綠燈 🚦 🚥
紅脣	紅脣 💋
紅色	紅色 🔴 🟥
紅色三角	紅色三角 🔺
紅色上三角	紅色上三角 🔺
紅色下三角	紅色下三角 🔻
紅色愛心	紅色愛心 ❤️
紅色書本	紅色書本 📕
紅葉	紅葉 🍁
紅薯	紅薯 🍠
紅蘋果	紅蘋果 🍎
紅蘿蔔	紅蘿蔔 🥕
紅豆	紅豆 🫘
紅酒	紅酒 🍷
紅髮	紅髮 👩🏻‍🦰
紅髮女	紅髮女 👩🏻‍🦰
紅髮男	紅髮男 👨🏻‍🦰
納米比亞	納米比亞 🇳🇦
紐埃	紐埃 🇳🇺
紐西蘭	紐西蘭 🇳🇿
紗麗	紗麗 🥻
紙	紙 📃 📄
紙卷	紙卷 🧻 📃
紙幣	紙幣 💸 💵
紙張	紙張 📄
紙杯蛋糕	紙杯蛋糕 🧁
紙牌	紙牌 🃏
紙鷂	紙鷂 🪁
索馬利亞	索馬利亞 🇸🇴
索馬里	索馬里 🇸🇴
紫	紫 🟪
紫心	紫心 💜
紫色	紫色 🟣 🟪
紫色愛心	紫色愛心 💜
紫荊旗	紫荊旗 🇭🇰
紫荊花旗	紫荊花旗 🇭🇰
細楷	細楷 🔡
細細聲	細細聲 🤫
細聲	細聲 🤫
細聲啲	細聲啲 🤫
細菌	細菌 🦠
細路	細路 👧🏻 👦🏻
細路仔	細路仔 👦🏻
細路哥	細路哥 👦🏻
細路女	細路女 👧🏻
細𡀔	細𡀔 👧🏻 👦🏻
細𡀔仔	細𡀔仔 👦🏻
細𡀔哥	細𡀔哥 👦🏻
細𡀔女	細𡀔女 👧🏻
終點旗	終點旗 🏁
結	結 🪢
結他	結他 🎸
結婚典禮	結婚典禮 💒
結婚戒指	結婚戒指 💍
結束箭頭	結束箭頭 🔚
統計	統計 📊
絲帶	絲帶 🎀
絳河	絳河 🌌
